# Kranji phonic partition - initial: zero
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 1115
U+6E0A	渊	yuān	yuān	
U+6E14	渔	yú	yú	yú(41)
U+6E1D	渝	yú	yú	
U+6E25	渥	wò	wò	
U+6E29	温	wēn	wēn	wēn(493)
U+6E2D	渭	wèi	wèi	
U+6E30	渰	yǎn	yǎn	
U+6E38	游	yóu	yóu	yóu(364)
U+6E6E	湮	yān	yān	
U+6E72	湲	yuán	yuán	
U+6E7E	湾	wān	wān	wān(17)
U+6E81	溁	yíng	yíng	
U+6E90	源	yuán	yuán	yuán(380)
U+6EA2	溢	yì	yì	
U+6EA6	溦	wēi	wēi	
U+6EB5	溵	yīn	yīn	
U+6EC3	滃	wēng	wēng	
U+6EDF	滟	yàn	yàn	
U+6EE2	滢	yíng	yíng	
U+6EEA	滪	yù	yù	
U+6F14	演	yǎn	yǎn	yǎn(332)
U+6F2A	漪	yī	yī	
U+6F39	漹	yān	yān	
U+6F3E	漾	yàng	yàng	yàng(17)
U+6F46	潆	yíng	yíng	
U+6F4D	潍	wéi	wéi	
U+6F4F	潏	yù	yù	
U+6F69	潩	yì	yì	
U+6FAD	澭	yōng	yōng	
U+6FB3	澳	ào	ào	
U+701B	瀛	yíng	yíng	
U+7039	瀹	yuè	yuè	
U+7080	炀	yáng	yáng	
U+7086	炆	wén	wén	
U+708E	炎	yán	yán	yán(50)
U+709C	炜	wěi	wěi	
U+70CA	烊	yáng,yàng	yáng	
U+70DF	烟	yān	yān	yān(348)
U+70E8	烨	yè	yè	
U+70F7	烷	wán	wán	
U+7109	焉	yān	yān	
U+7110	焐	wù	wù	
U+7130	焰	yàn	yàn	yàn(34)
U+7131	焱	yàn	yàn	
U+715C	煜	yù	yù	
U+715F	煟	wèi	wèi	
U+7168	煨	wēi	wēi	
U+7174	煴	yūn	yūn	
